"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","399","test_successful_login[chromium-error_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:23 UTC 2026","passed","Mon Jun 08 13:25:23 UTC 2026","","test_login","",""
"","106","test_cart_item_count[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:01 UTC 2026","passed","Mon Jun 08 13:25:01 UTC 2026","TestCartPage","test_cart","",""
"","180","test_checkout_with_empty_info[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:03 UTC 2026","passed","Mon Jun 08 13:25:03 UTC 2026","TestCheckout","test_checkout","",""
"","408","test_successful_login[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:03 UTC 2026","passed","Mon Jun 08 13:25:04 UTC 2026","","test_login","",""
"","1808","test_reset_app_state[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:09 UTC 2026","passed","Mon Jun 08 13:25:11 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","1015","test_navigate_from_cart_page[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:11 UTC 2026","passed","Mon Jun 08 13:25:12 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","409","test_successful_login[chromium-visual_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:23 UTC 2026","passed","Mon Jun 08 13:25:24 UTC 2026","","test_login","",""
"","345","test_complete_order[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:02 UTC 2026","passed","Mon Jun 08 13:25:03 UTC 2026","TestCheckout","test_checkout","",""
"","71","test_sort_by_price_low_to_high[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:15 UTC 2026","passed","Mon Jun 08 13:25:15 UTC 2026","TestProductsPage","test_products","",""
"","367","test_successful_login[chromium-locked_out_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:17 UTC 2026","passed","Mon Jun 08 13:25:17 UTC 2026","","test_login","",""
"","369","test_invalid_password[chromium]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:04 UTC 2026","passed","Mon Jun 08 13:25:05 UTC 2026","","test_login","",""
"","59","test_cart_page_loaded[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:00 UTC 2026","passed","Mon Jun 08 13:25:00 UTC 2026","TestCartPage","test_cart","",""
"","97","test_go_to_checkout[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:01 UTC 2026","passed","Mon Jun 08 13:25:01 UTC 2026","TestCartPage","test_cart","",""
"","30","test_go_to_cart[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:15 UTC 2026","passed","Mon Jun 08 13:25:15 UTC 2026","TestProductsPage","test_products","",""
"","1734","test_menu_open_close[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:06 UTC 2026","passed","Mon Jun 08 13:25:07 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","363","test_empty_credentials[chromium]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:05 UTC 2026","passed","Mon Jun 08 13:25:05 UTC 2026","","test_login","",""
"","90","test_add_remove_product[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:13 UTC 2026","passed","Mon Jun 08 13:25:13 UTC 2026","TestProductsPage","test_products","",""
"","41","test_sort_by_name_a_to_z[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:16 UTC 2026","passed","Mon Jun 08 13:25:16 UTC 2026","TestProductsPage","test_products","",""
"","45","test_sort_by_name_z_to_a[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:17 UTC 2026","passed","Mon Jun 08 13:25:17 UTC 2026","TestProductsPage","test_products","",""
"","945","test_logout_from_products_page[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:08 UTC 2026","passed","Mon Jun 08 13:25:09 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","218","test_add_all_products_to_cart[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:14 UTC 2026","passed","Mon Jun 08 13:25:14 UTC 2026","TestProductsPage","test_products","",""
"","14","test_page_loaded[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:13 UTC 2026","passed","Mon Jun 08 13:25:13 UTC 2026","TestProductsPage","test_products","",""
"","399","test_successful_login[chromium-problem_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:17 UTC 2026","passed","Mon Jun 08 13:25:18 UTC 2026","","test_login","",""
"","41","test_sort_by_price_high_to_low[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:16 UTC 2026","passed","Mon Jun 08 13:25:16 UTC 2026","TestProductsPage","test_products","",""
"","84","test_click_continue_shopping[chromium-standard_user]","src.saucedemo_ui_test.testcases","Mon Jun 08 13:25:02 UTC 2026","passed","Mon Jun 08 13:25:02 UTC 2026","TestCartPage","test_cart","",""
