"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","购买数量为负数应拒绝（已知缺陷，当前返回200）","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","skipped","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
"","4","查询所有商品","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestProducts","test_products","",""
"","4","管理员添加新商品","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestProducts","test_products","",""
"","15","正常登录获取Token","src.project_ecommerce","Wed May 27 00:37:25 CST 2026","passed","Wed May 27 00:37:25 CST 2026","TestAuth","test_auth","",""
"","1","查询价格大于5000的商品","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","","test_with_allure","",""
"","11","错误密码登录应返回401","src.project_ecommerce","Wed May 27 00:37:25 CST 2026","passed","Wed May 27 00:37:25 CST 2026","TestAuth","test_auth","",""
"","9","正常下单并校验库存扣减","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestOrders","test_orders","",""
"","6","库存为负数应拒绝（已知缺陷，当前返回200）","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","skipped","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
"","4","查询不存在的商品应返回404","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestProducts","test_products","",""
"","9","重复用户名注册应返回400","src.project_ecommerce","Wed May 27 00:37:25 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
"","5","价格为负数应拒绝（已知缺陷，当前返回200）","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","skipped","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
"","0","故意失败的用例————演示Allure报告中的失败截图","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","failed","Wed May 27 00:37:26 CST 2026","","test_with_allure","",""
"","8","库存不足时应返回400","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestOrders","test_orders","",""
"","12","正常注册新用户","src.project_ecommerce","Wed May 27 00:37:25 CST 2026","passed","Wed May 27 00:37:25 CST 2026","TestAuth","test_auth","",""
"","8","超卖场景————库存不足应返回400","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
"","1","查询所有用户并验证数据不为空","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","","test_with_allure","",""
"","10","重复邮箱注册应返回400（已知缺陷，目前返回500）","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","skipped","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
"","2","未授权访问————不带Token下单应返回","src.project_ecommerce","Wed May 27 00:37:26 CST 2026","passed","Wed May 27 00:37:26 CST 2026","TestNegativeScenario","test_negative","",""
