"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","322","test_complete_order[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:39 UTC 2026","passed","Thu Jun 11 07:24:40 UTC 2026","TestCheckout","test_checkout","",""
"","970","test_navigate_from_cart_page[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:48 UTC 2026","passed","Thu Jun 11 07:24:49 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","13","test_page_loaded[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:50 UTC 2026","passed","Thu Jun 11 07:24:50 UTC 2026","TestProductsPage","test_products","",""
"","367","test_successful_login[chromium-locked_out_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:54 UTC 2026","passed","Thu Jun 11 07:24:54 UTC 2026","","test_login","",""
"","433","test_successful_login[chromium-error_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:25:00 UTC 2026","passed","Thu Jun 11 07:25:00 UTC 2026","","test_login","",""
"","407","test_successful_login[chromium-problem_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:54 UTC 2026","passed","Thu Jun 11 07:24:54 UTC 2026","","test_login","",""
"","39","test_sort_by_name_a_to_z[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:53 UTC 2026","passed","Thu Jun 11 07:24:53 UTC 2026","TestProductsPage","test_products","",""
"","1723","test_menu_open_close[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:43 UTC 2026","passed","Thu Jun 11 07:24:44 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","468","test_successful_login[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:40 UTC 2026","passed","Thu Jun 11 07:24:41 UTC 2026","","test_login","",""
"","371","test_invalid_username[chromium]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:41 UTC 2026","passed","Thu Jun 11 07:24:41 UTC 2026","","test_login","",""
"","95","test_add_remove_product[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:50 UTC 2026","passed","Thu Jun 11 07:24:50 UTC 2026","TestProductsPage","test_products","",""
"","367","test_empty_credentials[chromium]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:42 UTC 2026","passed","Thu Jun 11 07:24:42 UTC 2026","","test_login","",""
"","371","test_invalid_password[chromium]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:41 UTC 2026","passed","Thu Jun 11 07:24:42 UTC 2026","","test_login","",""
"","189","test_add_all_products_to_cart[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:51 UTC 2026","passed","Thu Jun 11 07:24:51 UTC 2026","TestProductsPage","test_products","",""
"","60","test_cart_page_loaded[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:37 UTC 2026","passed","Thu Jun 11 07:24:37 UTC 2026","TestCartPage","test_cart","",""
"","35","test_go_to_cart[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:52 UTC 2026","passed","Thu Jun 11 07:24:52 UTC 2026","TestProductsPage","test_products","",""
"","1785","test_reset_app_state[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:46 UTC 2026","passed","Thu Jun 11 07:24:48 UTC 2026","TestMenuFunctionality","test_menu_functionality","",""
"","459","test_successful_login[chromium-visual_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:25:00 UTC 2026","passed","Thu Jun 11 07:25:01 UTC 2026","","test_login","",""
"","107","test_cart_item_count[chromium-standard_user]","src.saucedemo_ui_test.testcases","Thu Jun 11 07:24:38 UTC 2026","passed","Thu Jun 11 07:24:38 UTC 2026","TestCartPage","test_cart","",""
